Date,Open,High,Low,Close,Adj Close,Volume
2021-02-27,59034.85156,61460.67188,57659.60938,58830.69141,58830.69141,58477231516
2021-02-28,58837.78125,59503.18359,55077.28125,57312.19531,57312.19531,67858612442
2021-03-01,57339.78906,62941.78125,57279.02344,62739.59766,62739.59766,68124800841
2021-03-02,62715.41016,63379.46875,59599.26172,61132.89844,61132.89844,60061230632
2021-03-03,61179.43359,66355.60938,60996.53516,64055.45313,64055.45313,67455516449
2021-03-04,64035.25391,65472.57031,60374.17969,61573.375,61573.375,66369604078
2021-03-05,61530.09375,62554.80078,59059.33203,61913.10156,61913.10156,61531736668
2021-03-06,61877.57422,62191.38281,59800.14844,61894.21875,61894.21875,43483998357
2021-03-07,61902.1875,64908.73047,61902.1875,64684.29297,64684.29297,54491238686
2021-03-08,64643.14453,66221.76563,62743.52734,66138.40625,66138.40625,61519046789
2021-03-09,66171.88281,69333.04688,65842.57813,69333.04688,69333.04688,64385893801
2021-03-10,69332.91406,72341.10938,67549.13281,70691.1875,70691.1875,72315613285
2021-03-11,70633.92969,72790.13281,68631.51563,72463.92188,72463.92188,71169242207
2021-03-12,72484.10156,72659.03125,69372.54688,71526.07813,71526.07813,69477382762
2021-03-13,71540.15625,76956.78906,70137.53906,76406.875,76406.875,75691679676
2021-03-14,76379.48438,76849.5625,73947.61719,73947.61719,73947.61719,54743072229
2021-03-15,73904.11719,75532.45313,69073.72656,69760.44531,69760.44531,82877425555
2021-03-16,69677.57813,70708.82813,66827.30469,70684.32813,70684.32813,74348765639
2021-03-17,70710.36719,73139.73438,67991.52344,72931.79688,72931.79688,74650589489
